,items
1,Liquid Detergent,Almonds,Sooji & Rava,Ready Mix,Other Dals,Besan,Health Drinks
2,Organic F&V,Root Vegetables,Honey,Basmati Rice,Ghee,Exotic Vegetables
3,Brinjals,Glucose, Marie & Milk Biscuits,Other Dals,Moong Dal,Root Vegetables,Other Vegetables,Mosquito Repellent,Baking Ingredients
4,Beans,Other Vegetables,Besan,Organic F&V,Exotic Vegetables,Baking Ingredients,Almonds,Other Vegetables,Maida,Sugar,Root Vegetables,Brinjals,Whole Spices,Gourd & Cucumber,Organic F&V
5,Other Dals,Health Drinks,Other Dals,Other Dals
6,Other Vegetables
7,Root Vegetables,Other Vegetables
8,Other Dals,Moong Dal
9,Exotic Vegetables,Root Vegetables,Other Vegetables,Ghee
10,Chilli & Soya Sauces,Toor Dal,Health Drinks,Cream Biscuits,Moong Dal,Aluminium Foil & Cling Wrap,Other Vegetables
11,Root Vegetables,Health Drinks,Other Dals,Buns & Pavs,Other Vegetables,Beans
12,Bread,Glucose, Marie & Milk Biscuits,Exotic Vegetables,Glucose, Marie & Milk Biscuits,Frozen Veg Food
13,Other Vegetables,Other Dals,Root Vegetables,Sugar,Almonds
14,Root Vegetables,Gourd & Cucumber,Pre & Post Wash Care,Other Vegetables
15,Exotic Vegetables,Other Vegetables,Bread,Root Vegetables,Glucose, Marie & Milk Biscuits,Glucose, Marie & Milk Biscuits,Other Vegetables,Beans
16,Other Dals,Root Vegetables,Other Vegetables,Brinjals,Other Dals
17,Other Vegetables,Mosquito Repellent
18,Aluminium Foil & Cling Wrap,Root Vegetables,Exotic Vegetables,Other Dals,Almonds,Health Drinks,Banana
19,Organic F&V,Tomato Ketchup,Other Vegetables,Yogurt & Lassi,Bread
20,Beans,Gourd & Cucumber,Glucose, Marie & Milk Biscuits,Shaving Blade & Razors,Root Vegetables
21,Root Vegetables,Other Dals,Root Vegetables,Other Dals,Banana
22,Exotic Vegetables,Organic Rice & Rice Products,Glucose, Marie & Milk Biscuits,Moong Dal,Other Vegetables,Bread,Banana,Other Vegetables
23,Organic F&V,Root Vegetables,Exotic Vegetables,Bread,Maida,Other Vegetables
24,Basmati Rice,Root Vegetables,Root Vegetables,Exotic Vegetables
25,Banana,Other Vegetables,Other Dals,Besan
26,Brinjals,Root Vegetables,Root Vegetables,Exotic Vegetables,Gourd & Cucumber
27,Whole Spices,Glucose, Marie & Milk Biscuits,Other Dals,Whole Spices,Boiled Rice,Bread,Whole Spices
28,Glucose, Marie & Milk Biscuits,Other Vegetables,Bread,Root Vegetables,Jaggery,Other Vegetables,Moong Dal,Banana
29,Root Vegetables
30,Other Vegetables,Brinjals,Sugar,Root Vegetables
31,Glucose, Marie & Milk Biscuits,Other Dals,Moong Dal
32,Whole Spices
33,Basmati Rice,Yogurt & Lassi,Hand Wash,Hand Sanitizer,Organic F&V,Floor Cleaners
34,Root Vegetables
35,Aluminium Foil & Cling Wrap,Exotic Vegetables
36,Other Vegetables,Toor Dal,Maida,Brinjals
37,Exotic Vegetables,Other Vegetables,Other Vegetables,Exotic Vegetables,Yogurt & Lassi
38,Basmati Rice
39,Organic Flours
40,Aluminium Foil & Cling Wrap,Banana,Root Vegetables
41,Gourd & Cucumber,Ghee
42,Other Dals,Other Dals,Root Vegetables,Other Dals,Avalakki / Poha
43,Frozen Chicken,Root Vegetables
44,Curd
